REGIAO:;N
UF:;AM
ESTACAO:;BARCELOS
CODIGO (WMO):;A128
LATITUDE:;-,98722221
LONGITUDE:;-62,92416666
ALTITUDE:;29,88
DATA DE FUNDACAO:;19/04/08
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2025/01/01;0000 UTC;0;1003,8;1003,8;1003,4;0;25,7;24;26;25,7;24,3;23,9;92;88;90;158;1,9;,6;
2025/01/01;0100 UTC;0;1005;1005;1003,8;0;25,5;24,2;25,9;25,5;24,3;23,8;93;89;92;158;2,1;0;
2025/01/01;0200 UTC;;;;;;;;;;;;;;;;;;
2025/01/01;0300 UTC;,2;1006,3;1006,3;1005,9;0;25,1;23,9;25,5;25,1;24,2;23,9;93;93;93;158;1,4;0;
2025/01/01;0400 UTC;0;1005,9;1006,3;1005,9;0;25;23,9;25,1;25;24;23,9;94;93;94;158;,4;0;
2025/01/01;0500 UTC;0;1005,3;1005,9;1005,3;0;24,8;23,7;25;24,8;23,9;23,7;94;94;94;158;1,6;,1;
2025/01/01;0600 UTC;0;1004,7;1005,3;1004,7;0;24,8;23,7;24,8;24,7;23,7;23,6;94;94;94;158;1,5;,5;
2025/01/01;0700 UTC;,2;1004,5;1004,7;1004,5;0;24,7;23,6;24,8;24,6;23,7;23,6;94;94;94;158;1,4;0;
2025/01/01;0800 UTC;0;1004,2;1004,5;1004,2;0;24,5;23,4;24,7;24,5;23,6;23,4;94;94;94;158;1,1;,2;
2025/01/01;0900 UTC;0;1004,2;1004,2;1004;0;24,3;23,2;24,5;24,3;23,4;23,2;94;94;94;158;1,8;,3;
